Date,Open,High,Low,Close,Adj Close,Volume
2012-07-24,33.926666,33.926666,33.439999,33.613335,31.035877,1053900
2012-07-25,33.820000,33.820000,33.113335,33.580002,31.005093,2086000
2012-07-26,33.666668,33.666668,32.153332,32.733334,30.223354,3138600
2012-07-27,33.046665,33.493332,32.846668,33.340000,30.783506,1576000
2012-07-30,33.293335,33.493332,33.226665,33.360001,30.801970,934800
2012-07-31,33.380001,33.619999,33.066666,33.166668,30.623455,954300
2012-08-01,33.226665,33.486668,32.933334,33.099998,30.561899,1002000
2012-08-02,32.926666,33.946667,32.900002,33.593334,31.017412,1682700
2012-08-03,34.046665,34.513332,33.946667,34.240002,31.614500,1632700
2012-08-06,34.306667,34.533333,34.233334,34.246666,31.620646,645600
2012-08-07,34.373333,34.513332,34.200001,34.246666,31.620646,882600
2012-08-08,34.073334,34.160000,33.693333,33.806667,31.214390,1909000
2012-08-09,33.720001,33.873333,33.099998,33.200001,30.654230,1943200
2012-08-10,33.160000,33.613335,32.933334,33.540001,30.968164,1486000
2012-08-13,33.453335,33.706665,33.273335,33.653332,31.072802,1250700
2012-08-14,33.779999,33.919998,33.466667,33.546665,30.974316,714100
2012-08-15,33.540001,33.726665,33.473331,33.686668,31.103584,645400
2012-08-16,33.666668,34.000000,33.520000,33.939999,31.337486,570300
2012-08-17,33.853333,34.093334,33.820000,34.073334,31.460604,563500
2012-08-20,33.993332,34.126667,33.873333,34.046665,31.435972,667900
2012-08-21,34.220001,34.273335,33.740002,33.766666,31.177450,943000
2012-08-22,33.653332,33.866665,33.433334,33.713333,31.128201,969100
2012-08-23,33.633335,33.759998,33.446667,33.646667,31.066650,849700
2012-08-24,33.560001,34.026669,33.473331,33.959999,31.355947,930400
2012-08-27,34.053333,34.173332,33.980000,34.080002,31.466763,777100
2012-08-28,33.946667,34.206665,33.833332,33.986668,31.380579,816400
2012-08-29,34.033333,34.173332,33.966667,34.066666,31.454449,910600
2012-08-30,33.973331,34.046665,33.866665,33.886665,31.288240,824800
2012-08-31,34.080002,34.453335,33.946667,34.119999,31.503691,908700
2012-09-04,34.119999,34.446667,34.060001,34.340000,31.706814,888400
2012-09-05,34.453335,34.533333,34.253334,34.380001,31.743755,897000
2012-09-06,34.486668,34.779999,34.419998,34.759998,32.094620,816400
2012-09-07,34.893333,34.966667,34.680000,34.846668,32.174637,727900
2012-09-10,34.779999,34.853333,34.593334,34.593334,31.940727,799200
2012-09-11,34.540001,34.900002,34.439999,34.893333,32.217712,800800
2012-09-12,34.993332,35.126667,34.633335,34.793335,32.125389,621900
2012-09-13,34.686668,35.119999,34.619999,35.046665,32.359303,974800
2012-09-14,35.093334,35.433334,34.966667,35.173332,32.476246,771000
2012-09-17,35.106667,35.173332,34.746666,34.826668,32.156166,502600
2012-09-18,34.453335,35.126667,34.453335,34.726665,32.063835,773100
2012-09-19,34.779999,34.919998,34.686668,34.753334,32.088459,557200
2012-09-20,34.540001,34.833332,34.513332,34.820000,32.150013,924600
2012-09-21,35.160000,35.306667,34.193333,34.613335,31.959196,1541100
2012-09-24,34.540001,34.799999,34.406666,34.653332,31.996111,459700
2012-09-25,34.700001,34.853333,34.200001,34.206665,31.583710,695200
2012-09-26,34.160000,34.193333,33.806667,33.880001,31.282099,834900
2012-09-27,34.099998,34.233334,33.826668,34.099998,31.485224,639900
2012-09-28,34.000000,34.273335,33.840000,34.233334,31.608345,1097800
2012-10-01,34.293335,34.500000,34.080002,34.206665,31.583710,863500
2012-10-02,34.286667,34.439999,33.740002,34.020000,31.411360,698700
2012-10-03,33.939999,34.139999,33.900002,34.020000,31.550472,706900
2012-10-04,34.193333,34.493332,34.046665,34.459999,31.958521,472800
2012-10-05,34.660000,34.840000,34.473331,34.619999,32.106911,501400
2012-10-08,34.533333,34.586666,34.393333,34.500000,31.995628,231100
2012-10-09,34.400002,34.486668,34.033333,34.060001,31.587561,451200
2012-10-10,34.026669,34.060001,33.759998,33.913334,31.451540,919200
2012-10-11,34.113335,34.386665,33.993332,34.146667,31.667948,543600
2012-10-12,34.133335,34.426666,33.773335,33.846668,31.389715,544900
2012-10-15,34.020000,34.020000,33.673332,33.833332,31.377350,1021300
2012-10-16,33.973331,34.366665,33.866665,34.259998,31.773046,1504500
2012-10-17,34.439999,34.846668,34.326668,34.726665,32.205837,668100
2012-10-18,34.779999,34.906666,34.606667,34.626667,32.113094,1014400
2012-10-19,34.599998,34.639999,33.939999,34.066666,31.593752,922000
2012-10-22,34.006668,34.240002,33.080002,34.126667,31.649393,1212400
2012-10-23,33.706665,34.013332,33.613335,33.893333,31.433001,660900
2012-10-24,33.919998,34.253334,33.799999,33.993332,31.525736,763000
2012-10-25,33.993332,34.046665,33.259998,33.446667,31.018751,2052600
2012-10-26,33.486668,33.746666,33.413334,33.639999,31.198057,1127400
2012-10-31,33.526669,33.740002,33.393333,33.726665,31.278427,752700
2012-11-01,33.799999,34.026669,33.333332,34.000000,31.531923,1012500
2012-11-02,34.020000,34.333332,33.666668,33.706665,31.259888,839700
2012-11-05,33.486668,33.853333,33.333332,33.759998,31.309341,538900
2012-11-06,33.766666,34.166668,33.766666,33.866665,31.408260,1019200
2012-11-07,33.573334,33.673332,33.099998,33.213333,30.802362,1405600
2012-11-08,33.119999,33.446667,33.119999,33.180000,30.771442,1261200
2012-11-09,33.073334,33.646667,33.033333,33.480000,31.049662,1353600
2012-11-12,33.506668,33.633335,33.326668,33.373333,30.950739,1213000
2012-11-13,33.259998,33.733334,33.153332,33.340000,30.919838,1071300
2012-11-14,33.393333,33.573334,32.806667,33.033333,30.635422,1562400
2012-11-15,33.086666,33.393333,32.873333,33.220001,30.808544,1078500
2012-11-16,33.166668,33.660000,32.733334,33.646667,31.204235,4140600
2012-11-19,33.946667,34.060001,33.779999,33.946667,31.482464,744000
2012-11-20,33.860001,34.106667,33.786667,34.106667,31.630848,525100
2012-11-21,34.200001,34.200001,33.966667,34.153332,31.674128,431200
2012-11-23,34.333332,34.560001,34.066666,34.560001,32.051262,426900
2012-11-26,34.299999,34.473331,34.193333,34.466667,31.964710,656400
2012-11-27,34.413334,34.560001,34.266666,34.386665,31.890505,951700
2012-11-28,34.273335,34.520000,34.153332,34.513332,32.007996,893100
2012-11-29,34.626667,34.686668,34.413334,34.599998,32.088364,771100
2012-11-30,34.639999,34.713333,34.480000,34.660000,32.144005,1314600
2012-12-03,34.639999,34.773335,34.466667,34.540001,32.032722,1008100
2012-12-04,34.613335,34.639999,34.400002,34.446667,31.946161,956200
2012-12-05,34.520000,34.700001,34.253334,34.546665,32.038898,935200
2012-12-06,34.566666,34.593334,34.053333,34.419998,31.921421,1350000
2012-12-07,34.526669,34.660000,34.326668,34.513332,32.007996,673500
2012-12-10,34.439999,34.826668,34.366665,34.740002,32.218204,874900
2012-12-11,34.833332,34.860001,34.606667,34.666668,32.150200,602500
2012-12-12,34.766666,35.133335,34.660000,34.726665,32.205837,624000
2012-12-13,34.686668,34.773335,34.066666,34.093334,31.618481,1064700
2012-12-14,34.080002,34.119999,33.680000,33.720001,31.272245,775900
2012-12-17,33.846668,34.546665,33.846668,34.540001,32.032722,1316800
2012-12-18,34.573334,34.580002,34.253334,34.573334,32.063633,1311300
